t,value
1616027754,1561856
1616028054,1561856
1616028354,1561856
1616028654,1561856
1616028954,1561856
1616029254,1561856
1616029554,1561856
1616029854,1561856
1616030154,1561856
1616030454,1561856
1616030754,1561856
1616031054,1561856
1616031354,1561856
1616031654,1561856
1616031954,1561856
1616032254,1561856
1616032554,1561856
1616032854,1561856
1616033154,1561856
1616033454,1561856
1616033754,1561856
1616034054,1561856
1616034354,1561856
1616034654,1561856
1616034954,1561856
1616035254,1561856
1616035554,1561856
1616035854,1561856
1616036154,1561856
1616036454,1561856
1616036754,1561856
1616037054,1561856
1616037354,1561856
1616037654,1561856
1616037954,1561856
1616038254,1561856
1616038554,1561856
1616038854,1561856
1616039154,1561856
1616039454,1561856
1616039754,1561856
1616040054,1561856
1616040354,1561856
1616040654,1561856
1616040954,1561856
1616041254,1561856
1616041554,1561856
1616041854,1561856
1616042154,1561856
1616042454,1561856
1616042754,1561856
1616043054,1561856
1616043354,1561856
1616043654,1561856
1616043954,1561856
1616044254,1561856
1616044554,1561856
1616044854,1561856
1616045154,1561856
1616045454,1561856
1616045754,1561856
1616046054,1561856
1616046354,1561856
1616046654,1561856
1616046954,1561856
1616047254,1561856
1616047554,1561856
1616047854,1561856
1616048154,1561856
1616048454,1561856
1616048754,1561856
1616049054,1561856
1616049354,1561856
1616049654,1561856
1616049954,1561856
1616050254,1561856
1616050554,1561856
1616050854,1561856
1616051154,1561856
1616051454,1561856
1616051754,1561856
1616052054,1561856
1616052354,1561856
1616052654,1561856
1616052954,1561856
1616053254,1561856
1616053554,1561856
1616053854,1561856
1616054154,1561856
1616054454,1561856
1616054754,1561856
1616055054,1561856
1616055354,1561856
1616055654,1561856
1616055954,1561856
1616056254,1561856
1616056554,1561856
1616056854,1561856
1616057154,1561856
1616057454,1561856
1616057754,1561856
1616058054,1561856
1616058354,1561856
1616058654,1561856
1616058954,1561856
1616059254,1561856
1616059554,1561856
1616059854,1561856
1616060154,1561856
1616060454,1561856
1616060754,1561856
1616061054,1561856
1616061354,1561856
1616061654,1561856
1616061954,1561856
1616062254,1561856
1616062554,1561856
1616062854,1561856
1616063154,1561856
1616063454,1561856
1616063754,1561856
1616064054,1561856
1616064354,1561856
1616064654,1561856
1616064954,1561856
1616065254,1561856
1616065554,1561856
1616065854,1561856
1616066154,1561856
1616066454,1561856
1616066754,1561856
1616067054,1561856
1616067354,1561856
1616067654,1561856
1616067954,1561856
1616068254,1561856
1616068554,1561856
1616068854,1561856
1616069154,1561856
1616069454,1561856
1616069754,1561856
1616070054,1561856
1616070354,1561856
1616070654,1561856
1616070954,1561856
1616071254,1561856
1616071554,1561856
1616071854,1561856
1616072154,1561856
1616072454,1561856
1616072754,1561856
1616073054,1561856
1616073354,1561856
1616073654,1561856
1616073954,1561856
1616074254,1561856
1616074554,1561856
1616074854,1561856
1616075154,1561856
1616075454,1561856
1616075754,1561856
1616076054,1561856
1616076354,1561856
1616076654,1561856
1616076954,1561856
1616077254,1561856
1616077554,1561856
1616077854,1561856
1616078154,1561856
1616078454,1561856
1616078754,1561856
1616079054,1561856
1616079354,1561856
1616079654,1561856
1616079954,1561856
1616080254,1561856
1616080554,1561856
1616080854,1561856
1616081154,1561856
1616081454,1561856
1616081754,1561856
1616082054,1561856
1616082354,1561856
1616082654,1561856
1616082954,1561856
1616083254,1561856
1616083554,1561856
1616083854,1561856
1616084154,1561856
1616084454,1561856
1616084754,1561856
1616085054,1561856
1616085354,1561856
1616085654,1561856
1616085954,1561856
1616086254,1561856
1616086554,1561856
1616086854,1561856
1616087154,1561856
1616087454,1561856
1616087754,1561856
1616088054,1561856
1616088354,1561856
1616088654,1561856
1616088954,1561856
1616089254,1561856
1616089554,1561856
1616089854,1561856
1616090154,1561856
1616090454,1561856
1616090754,1561856
1616091054,1561856
1616091354,1561856
1616091654,1561856
1616091954,1561856
1616092254,1561856
1616092554,1561856
1616092854,1561856
1616093154,1561856
1616093454,1561856
1616093754,1561856
1616094054,1561856
1616094354,1561856
1616094654,1561856
1616094954,1561856
1616095254,1561856
1616095554,1561856
1616095854,1561856
1616096154,1561856
1616096454,1561856
1616096754,1561856
1616097054,1561856
1616097332,1561856
1616097332,1561856
