t,value
1616097707,3866624
1616098007,3866624
1616098307,3866624
1616098607,3866624
1616098907,3866624
1616099207,3866624
1616099507,3866624
1616099807,3866624
1616100107,3866624
1616100407,3866624
1616100707,3866624
1616101007,3866624
1616101307,3866624
1616101607,3866624
1616101907,3866624
1616102207,3866624
1616102507,3866624
1616102807,3866624
1616103107,3866624
1616103407,3866624
1616103707,3866624
1616104007,3866624
1616104307,3866624
1616104607,3866624
1616104907,3866624
1616105207,3866624
1616105507,3866624
1616105807,3866624
1616106107,3866624
1616106407,3866624
1616106707,3866624
1616107007,3866624
1616107307,3866624
1616107607,3866624
1616107907,3866624
1616108207,3866624
1616108507,3866624
1616108807,3866624
1616109107,3866624
1616109407,3866624
1616109707,3866624
1616110007,3866624
1616110307,3866624
1616110607,3866624
1616110907,3866624
1616111207,3866624
1616111507,3866624
1616111807,3866624
1616112107,3866624
1616112407,3866624
1616112707,3866624
1616113007,3866624
1616113307,3866624
1616113607,3866624
1616113907,3866624
1616114207,3866624
1616114507,3866624
1616114807,3866624
1616115107,3866624
1616115407,3866624
1616115707,3866624
1616116007,3866624
1616116307,3866624
1616116607,3866624
1616116907,3866624
1616117207,3866624
1616117507,3866624
1616117807,3866624
1616118107,3866624
1616118407,3866624
1616118707,3866624
1616119007,3866624
1616119307,3866624
1616119607,3866624
1616119907,3866624
1616120207,3866624
1616120507,3866624
1616120807,3866624
1616121107,3866624
1616121407,3866624
1616121707,3866624
1616122007,3866624
1616122307,3866624
1616122607,3866624
1616122907,3866624
1616123207,3866624
1616123507,3866624
1616123807,3866624
1616124107,3866624
1616124407,3866624
1616124707,3866624
1616125007,3866624
1616125307,3866624
1616125607,3866624
1616125664,3866624
1616125664,3866624
