t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1616140040,19,6.882161,1.719575,0.020602,0.719381,1.571848,1.970619,2.698084,2.698084,2.936881,6.882161,0.063305,0.044819,1.132063,2.165569,calls/second,milliseconds
1616140340,67,6.882161,0.655744,0.020602,0.576919,0.395487,1.057765,1.734514,1.734514,1.734514,2.014583,0.111641,0.043427,0.496045,1.593791,calls/second,milliseconds
1616140640,72,6.882161,0.819187,0.020602,0.132082,0.892697,0.892697,0.892697,0.892697,0.892697,1.734514,0.079988,0.023411,0.193822,1.146844,calls/second,milliseconds
1616140940,77,6.882161,0.890817,0.020602,0.107898,0.911385,0.911385,0.944818,0.944818,0.944818,0.944818,0.064159,0.023339,0.082670,0.826598,calls/second,milliseconds
1616141240,82,6.882161,0.811069,0.020602,0.079359,0.747003,0.888821,0.932652,0.935529,0.935529,0.944818,0.054662,0.023275,0.041750,0.597127,calls/second,milliseconds
1616141540,90,6.882161,0.481495,0.020602,0.353248,0.371412,0.870892,1.037255,1.037255,1.037255,1.037255,0.049996,0.044124,0.035091,0.435848,calls/second,milliseconds
1616141840,95,6.882161,0.207576,0.020602,0.065771,0.194713,0.213120,0.223299,0.223299,0.371412,1.037255,0.045235,0.023415,0.024246,0.317142,calls/second,milliseconds
1616142140,100,6.882161,0.153992,0.020602,0.027380,0.134393,0.176734,0.201986,0.213120,0.227316,0.227316,0.041664,0.023276,0.020257,0.232085,calls/second,milliseconds
1616142440,105,6.882161,0.208217,0.020602,0.022702,0.221919,0.221919,0.221919,0.221919,0.221919,0.221919,0.038887,0.023275,0.018789,0.171139,calls/second,milliseconds
1616142740,110,6.882161,0.194604,0.020602,0.029345,0.207593,0.207593,0.228037,0.228037,0.228037,0.228037,0.036665,0.023275,0.018249,0.127470,calls/second,milliseconds
1616143040,115,6.882161,0.162648,0.020602,0.015943,0.151227,0.175090,0.194350,0.196436,0.196436,0.228037,0.034847,0.023275,0.018051,0.096179,calls/second,milliseconds
1616143340,120,6.882161,0.196151,0.020602,0.035561,0.217299,0.217299,0.217483,0.217483,0.229073,0.229073,0.033332,0.023275,0.017978,0.073759,calls/second,milliseconds
1616143571,124,6.882161,0.292009,0.020602,0.067904,0.349093,0.349093,0.349093,0.349093,0.349093,0.349093,0.032366,0.010115,0.015201,0.060055,calls/second,milliseconds
1616143571,124,6.882161,0.292009,0.020602,0.067904,0.349093,0.349093,0.349093,0.349093,0.349093,0.349093,0.032366,0.010115,0.015201,0.060055,calls/second,milliseconds
