t,value
1616143950,8192
1616144250,8192
1616144550,8192
1616144850,8192
1616145150,8192
1616145450,8192
1616145750,8192
1616146050,8192
1616146350,8192
1616146650,8192
1616146950,8192
1616147250,8192
1616147550,8192
1616147850,8192
1616148150,8192
1616148450,8192
1616148750,8192
1616149050,8192
1616149350,8192
1616149650,8192
1616149950,8192
1616150250,8192
1616150550,8192
1616150850,8192
1616151150,8192
1616151450,8192
1616151750,8192
1616152050,8192
1616152350,8192
1616152650,8192
1616152950,8192
1616153250,8192
1616153550,8192
1616153850,8192
1616154150,8192
1616154450,8192
1616154750,8192
1616155050,8192
1616155350,8192
1616155650,8192
1616155950,8192
1616156250,8192
1616156550,8192
1616156850,8192
1616157150,8192
1616157450,8192
1616157750,8192
1616158050,8192
1616158350,8192
1616158650,8192
1616158950,8192
1616159250,8192
1616159550,8192
1616159850,8192
1616160150,8192
1616160450,8192
1616160750,8192
1616161050,8192
1616161350,8192
1616161650,8192
1616161950,8192
1616162250,8192
1616162550,8192
1616162850,8192
1616163150,8192
1616163450,8192
1616163750,8192
1616164050,8192
1616164350,8192
1616164650,8192
1616164950,8192
1616165250,8192
1616165550,8192
1616165850,8192
1616166150,8192
1616166450,8192
1616166750,8192
1616167050,8192
1616167350,8192
1616167650,8192
1616167950,8192
1616168250,8192
1616168550,8192
1616168850,8192
1616169150,8192
1616169450,8192
1616169750,8192
1616170050,8192
1616170350,8192
1616170650,8192
1616170950,8192
1616171250,8192
1616171550,8192
1616171850,8192
1616172150,8192
1616172450,8192
1616172750,8192
1616173050,8192
1616173350,8192
1616173650,8192
1616173950,8192
1616174250,8192
1616174550,8192
1616174850,8192
1616175150,8192
1616175450,8192
1616175750,8192
1616176050,8192
1616176350,8192
1616176650,8192
1616176950,8192
1616177250,8192
1616177550,8192
1616177850,8192
1616178150,8192
1616178450,8192
1616178750,8192
1616179050,8192
1616179350,8192
1616179650,8192
1616179950,8192
1616180250,8192
1616180550,8192
1616180850,8192
1616181150,8192
1616181450,8192
1616181750,8192
1616182050,8192
1616182350,8192
1616182650,8192
1616182950,8192
1616183250,8192
1616183550,8192
1616183850,8192
1616184150,8192
1616184450,8192
1616184750,8192
1616185050,8192
1616185350,8192
1616185650,8192
1616185952,8192
1616186250,8192
1616186550,8192
1616186850,8192
1616187150,8192
1616187450,8192
1616187750,8192
1616188050,8192
1616188350,8192
1616188650,8192
1616188950,8192
1616189250,8192
1616189550,8192
1616189850,8192
1616190150,8192
1616190450,8192
1616190750,8192
1616191050,8192
1616191350,8192
1616191650,8192
1616191950,8192
1616192250,8192
1616192550,8192
1616192850,8192
1616193150,8192
1616193450,8192
1616193750,8192
1616194050,8192
1616194350,8192
1616194650,8192
1616194950,8192
1616195250,8192
1616195550,8192
1616195850,8192
1616196150,8192
1616196450,8192
1616196750,8192
1616197050,8192
1616197350,8192
1616197650,8192
1616197950,8192
1616198250,8192
1616198550,8192
1616198850,8192
1616199150,8192
1616199450,8192
1616199750,8192
1616200050,8192
1616200350,8192
1616200650,8192
1616200950,8192
1616201250,8192
1616201550,8192
1616201850,8192
1616202150,8192
1616202450,8192
1616202750,8192
1616203050,8192
1616203350,8192
1616203650,8192
1616203950,8192
1616204250,8192
1616204550,8192
1616204850,8192
1616205150,8192
1616205450,8192
1616205750,8192
1616206050,8192
1616206350,8192
1616206650,8192
1616206950,8192
1616207250,8192
1616207550,8192
1616207850,8192
1616208150,8192
1616208450,8192
1616208750,8192
1616209050,8192
1616209350,8192
1616209650,8192
1616209951,8192
1616210250,8192
1616210550,8192
1616210850,8192
1616211150,8192
1616211450,8192
1616211750,8192
1616212050,8192
1616212350,8192
1616212650,8192
1616212950,8192
1616213250,8192
1616213550,8192
1616213850,8192
1616214150,8192
1616214450,8192
1616214750,8192
1616215050,8192
1616215350,8192
1616215650,8192
1616215950,8192
1616216250,8192
1616216550,8192
1616216850,8192
1616217150,8192
1616217450,8192
1616217750,8192
1616218050,8192
1616218350,8192
1616218650,8192
1616218950,8192
1616219250,8192
1616219550,8192
1616219850,8192
1616220150,8192
1616220450,8192
1616220750,8192
1616221050,8192
1616221350,8192
1616221650,8192
1616221950,8192
1616222250,8192
1616222550,8192
1616222850,8192
1616223150,8192
1616223450,8192
1616223750,8192
1616224050,8192
1616224350,8192
1616224650,8192
1616224950,8192
1616225250,8192
1616225550,8192
1616225851,8192
1616226150,8192
1616226450,8192
1616226750,8192
1616227050,8192
1616227350,8192
1616227650,8192
1616227950,8192
1616228250,8192
1616228550,8192
1616228850,8192
1616229150,8192
1616229450,8192
1616229750,8192
1616230050,8192
1616230350,8192
1616230650,8192
1616230950,8192
1616231250,8192
1616231550,8192
1616231850,8192
1616232150,8192
1616232450,8192
1616232750,8192
1616233050,8192
1616233350,8192
1616233650,8192
1616233950,8192
1616234250,8192
1616234550,8192
1616234850,8192
1616235150,8192
1616235450,8192
1616235750,8192
1616236050,8192
1616236350,8192
1616236650,8192
1616236950,8192
1616237250,8192
1616237550,8192
1616237850,8192
1616238150,8192
1616238450,8192
1616238750,8192
1616239050,8192
1616239350,8192
1616239650,8192
1616239950,8192
