t,value
1616143950,158709568
1616144250,158750944
1616144550,158750944
1616144850,158750944
1616145150,158750944
1616145450,158752888
1616145750,158752888
1616146050,158752888
1616146350,158752888
1616146650,158752888
1616146950,158752888
1616147250,158752888
1616147550,158752888
1616147850,158752888
1616148150,158752888
1616148450,158752888
1616148750,158752888
1616149050,158752888
1616149350,158752888
1616149650,158752888
1616149950,158752888
1616150250,158752888
1616150550,158752888
1616150850,158752888
1616151150,158752888
1616151450,158752888
1616151750,158752888
1616152050,158752888
1616152350,158752888
1616152650,158752888
1616152950,158752888
1616153250,158752888
1616153550,158752888
1616153850,158752888
1616154150,158752888
1616154450,158752888
1616154750,158752888
1616155050,158752888
1616155350,158752888
1616155650,158752888
1616155950,158752888
1616156250,158752888
1616156550,158752888
1616156850,158752888
1616157150,158752888
1616157450,158752888
1616157750,158752888
1616158050,158752888
1616158350,158752888
1616158650,158752888
1616158950,158752888
1616159250,158752888
1616159550,158752888
1616159850,158752888
1616160150,158752888
1616160450,158752888
1616160750,158752888
1616161050,158752888
1616161350,158752888
1616161650,158752888
1616161950,158752888
1616162250,158752888
1616162550,158752888
1616162850,158752888
1616163150,158752888
1616163450,158752888
1616163750,158752888
1616164050,158752888
1616164350,158752888
1616164650,158752888
1616164950,158752888
1616165250,158752888
1616165550,158752888
1616165850,158752888
1616166150,158752888
1616166450,158752888
1616166750,158752888
1616167050,158752888
1616167350,158752888
1616167650,158752888
1616167950,158752888
1616168250,158752888
1616168550,158752888
1616168850,158752888
1616169150,158752888
1616169450,158752888
1616169750,158752888
1616170050,158752888
1616170350,158752888
1616170650,158752888
1616170950,158752888
1616171250,158752888
1616171550,158752888
1616171850,158752888
1616172150,158752888
1616172450,158752888
1616172750,158752888
1616173050,158752888
1616173350,158752888
1616173650,158752888
1616173950,158752888
1616174250,158752888
1616174550,158752888
1616174850,158752888
1616175150,158752888
1616175450,158752888
1616175750,158752888
1616176050,158752888
1616176350,158752888
1616176650,158752888
1616176950,158752888
1616177250,158752888
1616177550,158752888
1616177850,158752888
1616178150,158752888
1616178450,158752888
1616178750,158752888
1616179050,158752888
1616179350,158752888
1616179650,158752888
1616179950,158752888
1616180250,158752888
1616180550,158752888
1616180850,158752888
1616181150,158752888
1616181450,158752888
1616181750,158752888
1616182050,158752888
1616182350,158752888
1616182650,158752888
1616182950,158752888
1616183250,158752888
1616183550,158752888
1616183850,158752888
1616184150,158752888
1616184450,158752888
1616184750,158752888
1616185050,158752888
1616185350,158752888
1616185650,158752888
1616185952,158752888
1616186250,158752888
1616186550,158752888
1616186850,158752888
1616187150,158752888
1616187450,158752888
1616187750,158752888
1616188050,158752888
1616188350,158752888
1616188650,158752888
1616188950,158752888
1616189250,158752888
1616189550,158752888
1616189850,158752888
1616190150,158752888
1616190450,158752888
1616190750,158752888
1616191050,158752888
1616191350,158752888
1616191650,158752888
1616191950,158752888
1616192250,158752888
1616192550,158752888
1616192850,158752888
1616193150,158752888
1616193450,158752888
1616193750,158752888
1616194050,158752888
1616194350,158752888
1616194650,158752888
1616194950,158752888
1616195250,158752888
1616195550,158752888
1616195850,158752888
1616196150,158752888
1616196450,158752888
1616196750,158752888
1616197050,158752888
1616197350,158752888
1616197650,158752888
1616197950,158752888
1616198250,158752888
1616198550,158752888
1616198850,158752888
1616199150,158752888
1616199450,158752888
1616199750,158752888
1616200050,158752888
1616200350,158752888
1616200650,158752888
1616200950,158752888
1616201250,158752888
1616201550,158752888
1616201850,158752888
1616202150,158752888
1616202450,158752888
1616202750,158752888
1616203050,158752888
1616203350,158752888
1616203650,158752888
1616203950,158752888
1616204250,158752888
1616204550,158752888
1616204850,158752888
1616205150,158752888
1616205450,158752888
1616205750,158752888
1616206050,158752888
1616206350,158752888
1616206650,158752888
1616206950,158752888
1616207250,158752888
1616207550,158752888
1616207850,158752888
1616208150,158752888
1616208450,158752888
1616208750,158752888
1616209050,158752888
1616209350,158752888
1616209650,158752888
1616209951,158752888
1616210250,158752888
1616210550,158752888
1616210850,158752888
1616211150,158752888
1616211450,158752888
1616211750,158752888
1616212050,158752888
1616212350,158752888
1616212650,158752888
1616212950,158752888
1616213250,158752888
1616213550,158752888
1616213850,158752888
1616214150,158752888
1616214450,158752888
1616214750,158752888
1616215050,158752888
1616215350,158752888
1616215650,158752888
1616215950,158752888
1616216250,158752888
1616216550,158752888
1616216850,158752888
1616217150,158752888
1616217450,158752888
1616217750,158752888
1616218050,158752888
1616218350,158752888
1616218650,158752888
1616218950,158752888
1616219250,158752888
1616219550,158752888
1616219850,158752888
1616220150,158752888
1616220450,158752888
1616220750,158752888
1616221050,158752888
1616221350,158752888
1616221650,158752888
1616221950,158752888
1616222250,158752888
1616222550,158752888
1616222850,158752888
1616223150,158752888
1616223450,158752888
1616223750,158752888
1616224050,158752888
1616224350,158752888
1616224650,158752888
1616224950,158752888
1616225250,158752888
1616225550,158752888
1616225851,158752888
1616226150,158752888
1616226450,158752888
1616226750,158752888
1616227050,158752888
1616227350,158752888
1616227650,158752888
1616227950,158752888
1616228250,158752888
1616228550,158752888
1616228850,158752888
1616229150,158752888
1616229450,158752888
1616229750,158752888
1616230050,158752888
1616230350,158752888
1616230650,158752888
1616230950,158752888
1616231250,158752888
1616231550,158752888
1616231850,158752888
1616232150,158752888
1616232450,158752888
1616232750,158752888
1616233050,158752888
1616233350,158752888
1616233650,158752888
1616233950,158752888
1616234250,158752888
1616234550,158752888
1616234850,158752888
1616235150,158752888
1616235450,158752888
1616235750,158752888
1616236050,158752888
1616236350,158752888
1616236650,158752888
1616236950,158752888
1616237250,158752888
1616237550,158752888
1616237850,158752888
1616238150,158752888
1616238450,158752888
1616238750,158752888
1616239050,158752888
1616239350,158752888
1616239650,158752888
1616239950,158752888
1616240250,158752888
1616240550,158752888
1616240850,158752888
1616241150,158752888
1616241450,158752888
1616241750,158752888
1616242050,158752888
1616242350,158752888
1616242650,158752888
1616242950,158752888
1616243250,158752888
1616243550,158752888
