t,value
1617103411,174
1617103711,196
1617104011,202
1617104311,206
1617104611,211
1617104911,216
1617105211,222
1617105511,227
1617105811,232
1617106111,237
1617106411,242
1617106711,248
1617107011,253
1617107311,258
1617107611,263
1617107911,268
1617108211,273
1617108511,278
1617108811,283
1617109111,288
1617109411,293
1617109711,299
1617110011,304
1617110311,309
1617110611,313
1617110911,317
1617111211,322
1617111511,327
1617111811,331
1617112111,336
1617112411,341
1617112711,346
1617113011,351
1617113311,356
1617113611,362
1617113911,367
1617114211,372
1617114511,377
1617114811,382
1617115111,387
1617115411,392
1617115711,397
1617116011,402
1617116311,407
1617116611,412
1617116911,416
1617117211,422
1617117511,426
1617117811,431
1617118111,436
1617118411,441
1617118711,446
1617119011,450
1617119311,455
1617119611,460
1617119911,465
1617120211,469
1617120511,474
1617120811,479
1617121111,484
1617121411,489
1617121712,494
1617122011,498
1617122311,503
1617122611,508
1617122911,513
1617123211,517
1617123511,522
1617123811,527
1617124111,532
1617124411,536
1617124711,541
1617125011,546
1617125311,551
1617125611,555
1617125911,561
1617126211,566
1617126511,570
1617126811,575
1617127111,580
1617127411,585
1617127711,589
1617128011,594
1617128311,599
1617128611,604
1617128911,608
1617129211,613
1617129511,618
1617129811,623
1617130111,628
1617130411,633
1617130712,638
1617131011,642
1617131311,647
1617131611,652
1617131911,657
1617132211,661
1617132511,666
1617132811,671
1617133111,676
1617133411,681
1617133711,685
1617134011,690
1617134311,695
1617134611,700
1617134911,705
1617135211,710
1617135511,715
1617135811,719
1617136111,724
1617136411,729
1617136711,734
1617137011,738
1617137311,743
1617137611,748
1617137911,753
1617138211,758
1617138511,763
1617138811,768
1617139111,772
1617139411,777
1617139711,782
1617140011,787
1617140311,792
1617140611,796
1617140911,801
1617141211,806
1617141511,811
1617141811,816
1617142111,821
1617142411,826
1617142711,831
1617143011,836
1617143311,840
1617143611,845
1617143911,850
1617144211,855
1617144511,860
1617144811,864
1617145111,869
1617145411,874
1617145711,879
1617146011,884
1617146311,889
1617146611,894
1617146911,899
1617147211,904
1617147511,908
1617147811,913
1617148111,918
1617148411,923
1617148711,928
1617149011,932
1617149311,937
1617149611,943
1617149911,948
1617150211,952
1617150511,957
1617150811,962
1617151111,967
1617151411,972
1617151711,977
1617152012,982
1617152311,986
1617152611,991
1617152911,996
1617153211,1001
1617153511,1006
1617153811,1011
1617154111,1015
1617154411,1020
1617154711,1025
1617155011,1030
1617155311,1035
1617155611,1040
1617155911,1044
1617156211,1049
1617156511,1055
1617156811,1060
1617157111,1065
1617157411,1069
1617157711,1074
1617158011,1079
1617158311,1084
1617158611,1089
1617158911,1094
1617159211,1098
1617159511,1103
1617159811,1109
1617160111,1114
1617160411,1119
1617160711,1124
1617161011,1129
1617161311,1133
1617161611,1138
1617161911,1143
1617162211,1148
1617162511,1153
1617162811,1158
1617163111,1163
1617163411,1168
1617163711,1172
1617164011,1177
1617164311,1182
1617164611,1187
1617164911,1192
1617165211,1196
1617165511,1201
1617165811,1205
1617166111,1210
1617166411,1215
1617166711,1220
1617167011,1224
1617167311,1229
1617167611,1233
1617167911,1238
1617168211,1243
1617168511,1247
1617168811,1252
1617169111,1256
1617169411,1262
1617169711,1266
1617170011,1271
1617170311,1276
1617170611,1280
1617170911,1285
1617171211,1289
1617171511,1294
1617171811,1299
1617172111,1303
1617172411,1309
1617172711,1313
1617173011,1318
1617173311,1322
1617173611,1327
1617173911,1332
1617174211,1336
1617174511,1341
1617174811,1346
1617175111,1350
1617175411,1356
1617175711,1360
1617176011,1365
1617176311,1370
1617176611,1374
1617176911,1379
1617177211,1383
1617177511,1388
1617177811,1393
1617178111,1398
1617178411,1403
1617178711,1407
1617179011,1412
1617179311,1417
1617179611,1421
1617179911,1426
1617180211,1431
1617180511,1435
1617180811,1440
1617181111,1445
1617181411,1450
1617181711,1454
1617182011,1459
1617182311,1464
1617182611,1468
1617182911,1473
1617183211,1478
1617183512,1483
1617183811,1487
1617184111,1492
1617184411,1496
1617184711,1501
1617185011,1505
1617185311,1510
1617185611,1515
1617185911,1519
1617186211,1524
1617186511,1528
1617186811,1533
1617187111,1537
1617187411,1542
1617187711,1547
1617188011,1552
1617188311,1556
1617188611,1561
1617188911,1565
1617189211,1570
1617189511,1574
1617189811,1580
1617190111,1584
1617190411,1588
1617190711,1593
1617191011,1597
1617191312,1602
1617191611,1606
1617191911,1610
1617192211,1615
1617192511,1619
1617192811,1624
1617193111,1628
1617193411,1633
1617193711,1637
1617194011,1641
1617194311,1647
1617194611,1651
1617194911,1655
1617195211,1660
1617195511,1664
1617195811,1669
1617196111,1675
1617196233,1678
1617196233,1678
