t,value
1617103411,0
1617103711,0
1617104011,0
1617104311,0
1617104611,0
1617104911,0
1617105211,0
1617105511,0
1617105811,0
1617106111,0
1617106411,0
1617106711,0
1617107011,0
1617107311,0
1617107611,0
1617107911,0
1617108211,0
1617108511,0
1617108811,0
1617109111,0
1617109411,0
1617109711,0
1617110011,0
1617110311,0
1617110611,0
1617110911,0
1617111211,0
1617111511,0
1617111811,0
1617112111,0
1617112411,0
1617112711,0
1617113011,0
1617113311,0
1617113611,0
1617113911,0
1617114211,0
1617114511,0
1617114811,0
1617115111,0
1617115411,0
1617115711,0
1617116011,0
1617116311,0
1617116611,0
1617116911,0
1617117211,0
1617117511,0
1617117811,0
1617118111,0
1617118411,0
1617118711,0
1617119011,0
1617119311,0
1617119611,0
1617119911,0
1617120211,0
1617120511,0
1617120811,0
1617121111,0
1617121411,0
1617121712,0
1617122011,0
1617122311,0
1617122611,0
1617122911,0
1617123211,0
1617123511,0
1617123811,0
1617124111,0
1617124411,0
1617124711,0
1617125011,0
1617125311,0
1617125611,0
1617125911,0
1617126211,0
1617126511,0
1617126811,0
1617127111,0
1617127411,0
1617127711,0
1617128011,0
1617128311,0
1617128611,0
1617128911,0
1617129211,0
1617129511,0
1617129811,0
1617130111,0
1617130411,0
1617130712,0
1617131011,0
1617131311,0
1617131611,0
1617131911,0
1617132211,0
1617132511,0
1617132811,0
1617133111,0
1617133411,0
1617133711,0
1617134011,0
1617134311,0
1617134611,0
1617134911,0
1617135211,0
1617135511,0
1617135811,0
1617136111,0
1617136411,0
1617136711,0
1617137011,0
1617137311,0
1617137611,0
1617137911,0
1617138211,0
1617138511,0
1617138811,0
1617139111,0
1617139411,0
1617139711,0
1617140011,0
1617140311,0
1617140611,0
1617140911,0
1617141211,0
1617141511,0
1617141811,0
1617142111,0
1617142411,0
1617142711,0
1617143011,0
1617143311,0
1617143611,0
1617143911,0
1617144211,0
1617144511,0
1617144811,0
1617145111,0
1617145411,0
1617145711,0
1617146011,0
1617146311,0
1617146611,0
1617146911,0
1617147211,0
1617147511,0
1617147811,0
1617148111,0
1617148411,0
1617148711,0
1617149011,0
1617149311,0
1617149611,0
1617149911,0
1617150211,0
1617150511,0
1617150811,0
1617151111,0
1617151411,0
1617151711,0
1617152012,0
1617152311,0
1617152611,0
1617152911,0
1617153211,0
1617153511,0
1617153811,0
1617154111,0
1617154411,0
1617154711,0
1617155011,0
1617155311,0
1617155611,0
1617155911,0
1617156211,0
1617156511,0
1617156811,0
1617157111,0
1617157411,0
1617157711,0
1617158011,0
1617158311,0
1617158611,0
1617158911,0
1617159211,0
1617159511,0
1617159811,0
1617160111,0
1617160411,0
1617160711,0
1617161011,0
1617161311,0
1617161611,0
1617161911,0
1617162211,0
1617162511,0
1617162811,0
1617163111,0
1617163411,0
1617163711,0
1617164011,0
1617164311,0
1617164611,0
1617164911,0
1617165211,0
1617165511,0
1617165811,0
1617166111,0
1617166411,0
1617166711,0
1617167011,0
1617167311,0
1617167611,0
1617167911,0
1617168211,0
1617168511,0
1617168811,0
1617169111,0
1617169411,0
1617169711,0
1617170011,0
1617170311,0
1617170611,0
1617170911,0
1617171211,0
1617171511,0
1617171811,0
1617172111,0
1617172411,0
1617172711,0
1617173011,0
1617173311,0
1617173611,0
1617173911,0
1617174211,0
1617174511,0
1617174811,0
1617175111,0
1617175411,0
1617175711,0
1617176011,0
1617176311,0
1617176611,0
1617176911,0
1617177211,0
1617177511,0
1617177811,0
1617178111,0
1617178411,0
1617178711,0
1617179011,0
1617179311,0
1617179611,0
1617179911,0
1617180211,0
1617180511,0
1617180811,0
1617181111,0
1617181411,0
1617181711,0
1617182011,0
1617182311,0
1617182611,0
1617182911,0
1617183211,0
1617183512,0
1617183811,0
1617184111,0
1617184411,0
1617184711,0
1617185011,0
1617185311,0
1617185611,0
1617185911,0
1617186211,0
1617186511,0
1617186811,0
1617187111,0
1617187411,0
1617187711,0
1617188011,0
1617188311,0
1617188611,0
1617188911,0
1617189211,0
1617189511,0
1617189811,0
1617190111,0
1617190411,0
1617190711,0
1617191011,0
1617191312,0
1617191611,0
1617191911,0
1617192211,0
1617192511,0
1617192811,0
1617193111,0
1617193411,0
1617193711,0
1617194011,0
1617194311,0
1617194611,0
1617194911,0
1617195211,0
1617195511,0
1617195811,0
1617196111,0
1617196233,0
1617196233,0
