t,value
1617261312,-1
1617261613,-1
1617261913,-1
1617262212,-1
1617262512,-1
1617262812,-1
1617263112,-1
1617263412,-1
1617263712,-1
1617264012,-1
1617264312,-1
1617264612,-1
1617264912,-1
1617265212,-1
1617265512,-1
1617265812,-1
1617266112,-1
1617266412,-1
1617266712,-1
1617267012,-1
1617267312,-1
1617267612,-1
1617267912,-1
1617268212,-1
1617268512,-1
1617268812,-1
1617269112,-1
1617269412,-1
1617269712,-1
1617270012,-1
1617270312,-1
1617270612,-1
1617270912,-1
1617271212,-1
1617271512,-1
1617271812,-1
1617272112,-1
1617272412,-1
1617272712,-1
1617273012,-1
1617273312,-1
1617273612,-1
1617273912,-1
1617274212,-1
1617274512,-1
1617274812,-1
1617275112,-1
1617275412,-1
1617275712,-1
1617276012,-1
1617276312,-1
1617276612,-1
1617276912,-1
1617277212,-1
1617277512,-1
1617277812,-1
1617278112,-1
1617278412,-1
1617278712,-1
1617279012,-1
1617279312,-1
1617279612,-1
1617279912,-1
1617280212,-1
1617280512,-1
1617280812,-1
1617281112,-1
1617281412,-1
1617281712,-1
1617282012,-1
1617282312,-1
1617282612,-1
1617282912,-1
1617283212,-1
1617283512,-1
1617283812,-1
1617284112,-1
1617284412,-1
1617284712,-1
1617285012,-1
1617285312,-1
1617285612,-1
1617285912,-1
1617286212,-1
1617286512,-1
1617286812,-1
1617287112,-1
1617287412,-1
1617287712,-1
1617288012,-1
1617288312,-1
1617288612,-1
1617288912,-1
1617289212,-1
1617289512,-1
1617289812,-1
1617290112,-1
1617290412,-1
1617290712,-1
1617291012,-1
1617291312,-1
1617291612,-1
1617291912,-1
1617292212,-1
1617292512,-1
1617292812,-1
1617293112,-1
1617293412,-1
1617293712,-1
1617294012,-1
1617294312,-1
1617294612,-1
1617294912,-1
1617295212,-1
1617295512,-1
1617295812,-1
1617296112,-1
1617296412,-1
1617296712,-1
1617297012,-1
1617297312,-1
1617297612,-1
1617297912,-1
1617298212,-1
1617298512,-1
1617298812,-1
1617299112,-1
1617299412,-1
1617299712,-1
1617300012,-1
1617300312,-1
1617300612,-1
1617300912,-1
1617301212,-1
1617301512,-1
1617301812,-1
1617302112,-1
1617302412,-1
1617302712,-1
1617303012,-1
1617303312,-1
1617303612,-1
1617303912,-1
1617304212,-1
1617304512,-1
1617304812,-1
1617305112,-1
1617305412,-1
1617305712,-1
1617306012,-1
1617306312,-1
1617306612,-1
1617306912,-1
1617307212,-1
1617307512,-1
1617307812,-1
1617308112,-1
1617308412,-1
1617308712,-1
1617309012,-1
1617309312,-1
1617309612,-1
1617309912,-1
1617310212,-1
1617310512,-1
1617310812,-1
1617311112,-1
1617311412,-1
1617311712,-1
1617312012,-1
1617312312,-1
1617312612,-1
1617312912,-1
1617313212,-1
1617313512,-1
1617313812,-1
1617314112,-1
1617314412,-1
1617314712,-1
1617315012,-1
1617315312,-1
1617315612,-1
1617315912,-1
1617316212,-1
1617316512,-1
1617316812,-1
1617317112,-1
1617317412,-1
1617317712,-1
1617318012,-1
1617318312,-1
1617318612,-1
