t,count
1618605379,0
1618605679,0
1618605979,0
1618606279,0
1618606579,0
1618606879,0
1618607179,0
1618607479,0
1618607779,0
1618608079,0
1618608379,0
1618608679,0
1618608979,0
1618609279,0
1618609579,0
1618609879,0
1618610179,0
1618610479,0
1618610779,0
1618611079,0
1618611379,0
1618611679,0
1618611979,0
1618612279,0
1618612579,0
1618612879,0
1618613179,0
1618613479,0
1618613779,0
1618614079,0
1618614379,0
1618614679,0
1618614979,0
1618615279,0
1618615579,0
1618615879,0
1618616179,0
1618616479,0
1618616779,0
1618617079,0
1618617379,0
1618617679,0
1618617979,0
1618618279,0
1618618579,0
1618618879,0
1618619179,0
1618619479,0
1618619779,0
1618620079,0
1618620379,0
1618620679,0
1618620979,0
1618621279,0
1618621579,0
1618621879,0
1618622179,0
1618622479,0
1618622779,0
1618623079,0
1618623379,0
1618623679,0
1618623979,0
1618624279,0
1618624579,0
1618624879,0
1618625179,0
1618625479,0
1618625779,0
1618626079,0
1618626379,0
1618626679,0
1618626979,0
1618627279,0
1618627579,0
1618627879,0
1618628179,0
1618628479,0
1618628779,0
1618629079,0
1618629379,0
1618629679,0
1618629979,0
1618630279,0
1618630579,0
1618630879,0
1618631179,0
1618631479,0
1618631779,0
1618632079,0
1618632379,0
1618632679,0
1618632979,0
1618633279,0
1618633579,0
1618633879,0
1618634179,0
1618634479,0
1618634779,0
1618635079,0
1618635379,0
1618635679,0
1618635979,0
1618636279,0
1618636579,0
1618636879,0
1618637179,0
1618637479,0
1618637779,0
1618638079,0
1618638379,0
1618638679,0
1618638979,0
1618639279,0
1618639579,0
1618639879,0
1618640179,0
1618640479,0
1618640779,0
1618641079,0
1618641379,0
1618641679,0
1618641979,0
1618642279,0
1618642579,0
1618642879,0
1618643179,0
1618643479,0
1618643779,0
1618644079,0
1618644379,0
1618644679,0
1618644979,0
1618645279,0
1618645461,0
1618645461,0
