t,value
1618682060,0
1618682360,0
1618682660,0
1618682960,0
1618683260,0
1618683560,0
1618683860,0
1618684160,0
1618684460,0
1618684760,0
1618685060,0
1618685360,0
1618685660,0
1618685960,0
1618686260,0
1618686560,0
1618686860,0
1618687160,0
1618687460,0
1618687760,0
1618688060,0
1618688360,0
1618688660,0
1618688960,0
1618689260,0
1618689560,0
1618689860,0
1618690160,0
1618690460,0
1618690760,0
1618691060,0
1618691360,0
1618691660,0
1618691960,0
1618692260,0
1618692560,0
1618692860,0
1618693160,0
1618693460,0
1618693760,0
1618694060,0
1618694360,0
1618694660,0
1618694960,0
1618695260,0
1618695560,0
1618695860,0
1618696160,0
1618696460,0
1618696760,0
1618697060,0
1618697360,0
1618697660,0
1618697960,0
1618698260,0
1618698560,0
1618698860,0
1618699160,0
1618699460,0
1618699760,0
1618700060,0
1618700360,0
1618700660,0
1618700960,0
1618701260,0
1618701560,0
1618701860,0
1618702160,0
1618702460,0
1618702760,0
1618703060,0
1618703360,0
1618703660,0
1618703960,0
1618704260,0
1618704560,0
1618704860,0
1618705160,0
1618705460,0
1618705760,0
1618706060,0
1618706360,0
1618706660,0
1618706960,0
1618707260,0
1618707560,0
1618707860,0
1618708160,0
1618708460,0
1618708760,0
1618709060,0
1618709360,0
1618709660,0
1618709960,0
1618710260,0
1618710560,0
1618710860,0
1618710970,0
1618710970,0
