t,value
1618682060,28482048
1618682360,28553728
1618682660,28553728
1618682960,28553728
1618683260,28553728
1618683560,28550912
1618683860,28550912
1618684160,28550912
1618684460,28550912
1618684760,28550912
1618685060,28550912
1618685360,28550912
1618685660,28550912
1618685960,28550912
1618686260,28387712
1618686560,28387712
1618686860,28387712
1618687160,28387712
1618687460,28387712
1618687760,28387712
1618688060,28387712
1618688360,28252032
1618688660,28252032
1618688960,28252032
1618689260,28252032
1618689560,28252032
1618689860,28252032
1618690160,28252032
1618690460,28252032
1618690760,28252032
1618691060,28252032
1618691360,28252032
1618691660,28252032
1618691960,28252032
1618692260,28252032
1618692560,28252032
1618692860,28252032
1618693160,28252032
1618693460,28252032
1618693760,28252032
1618694060,28252032
1618694360,28252032
1618694660,28252032
1618694960,28252032
1618695260,28252032
1618695560,28252032
1618695860,28252032
1618696160,28252032
1618696460,28252032
1618696760,28252032
1618697060,28252032
1618697360,28252032
1618697660,28252032
1618697960,28252032
1618698260,28252032
1618698560,28252032
1618698860,28252032
1618699160,28252032
1618699460,28252032
1618699760,28252032
1618700060,28252032
1618700360,28252032
1618700660,28252032
1618700960,28252032
1618701260,28252032
1618701560,28252032
1618701860,28252032
1618702160,28252032
1618702460,28252032
1618702760,28252032
1618703060,28252032
1618703360,28252032
1618703660,28252032
1618703960,28252032
1618704260,28252032
1618704560,28252032
1618704860,28252032
1618705160,28252032
1618705460,28252032
1618705760,28252032
1618706060,28252032
1618706360,28252032
1618706660,28252032
1618706960,28252032
1618707260,28252032
1618707560,28252032
1618707860,28252032
1618708160,28252032
1618708460,28252032
1618708760,28252032
1618709060,28252032
1618709360,28252032
1618709660,28252032
1618709960,28252032
1618710260,28252032
1618710560,28252032
1618710860,28252032
1618710970,28284160
1618710970,28288640
