t,value
1618711801,15835392
1618712101,15835392
1618712401,15835392
1618712701,15835392
1618713001,15835392
1618713301,15835392
1618713601,15836800
1618713901,15836800
1618714201,15836800
1618714501,15836800
1618714801,15836800
1618715101,15837440
1618715401,15827840
1618715701,15827840
1618716001,15827840
1618716301,15827840
1618716601,15827840
1618716901,15827840
1618717201,15827840
1618717501,15827840
1618717801,15827840
1618718101,15828480
1618718401,15828480
1618718701,15828480
1618719001,15829120
1618719301,15829120
1618719601,15829120
1618719901,15829888
1618720201,15829888
1618720501,15829888
1618720801,15829888
1618721101,15830784
1618721401,15830784
1618721701,15830784
1618722001,15830784
1618722301,15830784
1618722601,15830784
1618722901,15830784
1618723201,15830784
1618723501,15830784
1618723801,15830784
1618724101,15830784
1618724401,15830784
1618724701,15830784
1618725001,15830784
1618725301,15838720
1618725601,15845376
1618725901,15845376
1618726201,15845376
1618726501,15845376
1618726801,15845376
1618727101,15845376
1618727401,15852032
1618727701,15852032
1618728001,15852928
1618728301,15852928
1618728601,15852928
1618728901,15852928
1618729201,15861888
1618729501,15861888
1618729801,15862784
1618730101,15862784
1618730401,15862784
1618730701,15862784
1618731001,15862784
1618731301,15862784
1618731601,15862784
1618731901,15863680
1618732201,15864704
1618732501,15864704
1618732801,15865600
1618733101,15873408
1618733401,15874048
1618733701,15875840
1618734001,15875840
1618734301,15875840
1618734601,15877632
1618734901,15877632
1618735201,15877632
1618735501,15877632
1618735801,15879040
1618736101,15879808
1618736401,15879808
1618736701,15879808
1618737001,15888000
1618737301,15888000
1618737396,15889664
1618737396,15889664
