t,value
1618711801,-1
1618712101,-1
1618712401,-1
1618712701,-1
1618713001,-1
1618713301,-1
1618713601,-1
1618713901,-1
1618714201,-1
1618714501,-1
1618714801,-1
1618715101,-1
1618715401,-1
1618715701,-1
1618716001,-1
1618716301,-1
1618716601,-1
1618716901,-1
1618717201,-1
1618717501,-1
1618717801,-1
1618718101,-1
1618718401,-1
1618718701,-1
1618719001,-1
1618719301,-1
1618719601,-1
1618719901,-1
1618720201,-1
1618720501,-1
1618720801,-1
1618721101,-1
1618721401,-1
1618721701,-1
1618722001,-1
1618722301,-1
1618722601,-1
1618722901,-1
1618723201,-1
1618723501,-1
1618723801,-1
1618724101,-1
1618724401,-1
1618724701,-1
1618725001,-1
1618725301,-1
1618725601,-1
1618725901,-1
1618726201,-1
1618726501,-1
1618726801,-1
1618727101,-1
1618727401,-1
1618727701,-1
1618728001,-1
1618728301,-1
1618728601,-1
1618728901,-1
1618729201,-1
1618729501,-1
1618729801,-1
1618730101,-1
1618730401,-1
1618730701,-1
1618731001,-1
1618731301,-1
1618731601,-1
1618731901,-1
1618732201,-1
1618732501,-1
1618732801,-1
1618733101,-1
1618733401,-1
1618733701,-1
1618734001,-1
1618734301,-1
1618734601,-1
1618734901,-1
1618735201,-1
1618735501,-1
1618735801,-1
1618736101,-1
1618736401,-1
1618736701,-1
1618737001,-1
1618737301,-1
1618737396,-1
1618737396,-1
