t,value
1618711801,322122547200
1618712101,322122547200
1618712401,322122547200
1618712701,322122547200
1618713001,322122547200
1618713301,322122547200
1618713601,322122547200
1618713901,322122547200
1618714201,322122547200
1618714501,322122547200
1618714801,322122547200
1618715101,322122547200
1618715401,322122547200
1618715701,322122547200
1618716001,322122547200
1618716301,322122547200
1618716601,322122547200
1618716901,322122547200
1618717201,322122547200
1618717501,322122547200
1618717801,322122547200
1618718101,322122547200
1618718401,322122547200
1618718701,322122547200
1618719001,322122547200
1618719301,322122547200
1618719601,322122547200
1618719901,322122547200
1618720201,322122547200
1618720501,322122547200
1618720801,322122547200
1618721101,322122547200
1618721401,322122547200
1618721701,322122547200
1618722001,322122547200
1618722301,322122547200
1618722601,322122547200
1618722901,322122547200
1618723201,322122547200
1618723501,322122547200
1618723801,322122547200
1618724101,322122547200
1618724401,322122547200
1618724701,322122547200
1618725001,322122547200
1618725301,322122547200
1618725601,322122547200
1618725901,322122547200
1618726201,322122547200
1618726501,322122547200
1618726801,322122547200
1618727101,322122547200
1618727401,322122547200
1618727701,322122547200
1618728001,322122547200
1618728301,322122547200
1618728601,322122547200
1618728901,322122547200
1618729201,322122547200
1618729501,322122547200
1618729801,322122547200
1618730101,322122547200
1618730401,322122547200
1618730701,322122547200
1618731001,322122547200
1618731301,322122547200
1618731601,322122547200
1618731901,322122547200
1618732201,322122547200
1618732501,322122547200
1618732801,322122547200
1618733101,322122547200
1618733401,322122547200
1618733701,322122547200
1618734001,322122547200
1618734301,322122547200
1618734601,322122547200
1618734901,322122547200
1618735201,322122547200
1618735501,322122547200
1618735801,322122547200
1618736101,322122547200
1618736401,322122547200
1618736701,322122547200
1618737001,322122547200
1618737301,322122547200
1618737396,322122547200
1618737396,322122547200
