t,value
1618738170,184140
1618738470,184140
1618738770,184140
1618739070,184140
1618739370,184140
1618739670,184140
1618739970,184140
1618740270,184140
1618740570,184140
1618740870,184140
1618741170,184140
1618741470,184140
1618741770,184140
1618742070,184140
1618742370,184140
1618742670,184140
1618742970,184140
1618743270,184140
1618743570,184140
1618743870,184140
1618744170,184140
1618744470,184140
1618744770,184140
1618745070,184140
1618745370,184140
1618745670,184140
1618745970,184140
1618746270,184140
1618746570,184140
1618746870,184140
1618747170,184140
1618747470,184140
1618747770,184140
1618748070,184140
1618748370,184140
1618748670,184140
1618748970,184140
1618749270,184140
1618749570,184140
1618749870,184140
1618750170,184140
1618750470,184140
1618750770,184140
1618751070,184140
1618751370,184140
1618751670,184140
1618751970,184140
1618752270,184140
1618752570,184140
1618752870,184140
1618753170,184140
1618753470,184140
1618753770,184140
1618754070,184140
1618754370,184140
1618754670,184140
1618754970,184140
1618755270,184140
1618755570,184140
1618755870,184140
1618756170,184140
1618756470,184140
1618756770,184140
1618757070,184140
1618757370,184140
1618757670,184140
1618757970,184140
1618758270,184140
1618758570,184140
1618758870,184140
1618759170,184140
1618759470,184140
1618759770,184140
1618760070,184140
1618760370,184140
1618760670,184140
1618760790,184140
1618760790,184140
