t,value
1618761498,4413
1618761798,4413
1618762098,4413
1618762398,4413
1618762698,4413
1618762998,4413
1618763298,4413
1618763598,4413
1618763898,4413
1618764198,4413
1618764498,4413
1618764798,4413
1618765098,4413
1618765398,4413
1618765698,4413
1618765998,4413
1618766298,4413
1618766598,4413
1618766898,4413
1618767198,4413
1618767498,4413
1618767798,4413
1618768098,4413
1618768398,4413
1618768698,4413
1618768998,4413
1618769298,4413
1618769598,4413
1618769898,4413
1618770198,4413
1618770498,4413
1618770798,4413
1618771098,4413
1618771398,4413
1618771698,4413
1618771998,4413
1618772298,4413
1618772598,4413
1618772898,4413
1618773198,4413
1618773498,4413
1618773798,4413
1618774098,4413
1618774398,4413
1618774698,4413
1618774998,4413
1618775298,4413
1618775598,4413
1618775898,4413
1618776198,4413
1618776498,4413
1618776798,4413
1618777098,4413
1618777398,4413
1618777698,4413
1618777998,4413
1618778298,4413
1618778598,4413
1618778898,4413
1618779198,4413
1618779498,4413
1618779798,4413
1618780098,4413
1618780398,4413
1618780698,4413
1618780998,4413
1618781155,4413
1618781155,4413
