t,count
1618781802,0
1618782102,0
1618782402,0
1618782702,0
1618783002,0
1618783302,0
1618783602,0
1618783902,0
1618784202,0
1618784502,0
1618784802,0
1618785102,0
1618785402,0
1618785702,0
1618786002,0
1618786302,0
1618786602,0
1618786902,0
1618787202,0
1618787502,0
1618787802,0
1618788102,0
1618788402,0
1618788702,0
1618789002,0
1618789302,0
1618789602,0
1618789902,0
1618790202,0
1618790502,0
1618790802,0
1618791102,0
1618791402,0
1618791702,0
1618792002,0
1618792302,0
1618792602,0
1618792902,0
1618793202,0
1618793502,0
1618793802,0
1618794102,0
1618794402,0
1618794702,0
1618795002,0
1618795302,0
1618795602,0
1618795902,0
1618796202,0
1618796502,0
1618796802,0
1618797102,0
1618797402,0
1618797702,0
1618798002,0
1618798082,0
1618798082,0
