t,value
1618798676,33554432
1618798976,33554432
1618799276,33554432
1618799576,33554432
1618799876,33554432
1618800176,33554432
1618800476,33554432
1618800776,33554432
1618801076,33554432
1618801376,33554432
1618801676,33554432
1618801976,33554432
1618802276,33554432
1618802576,33554432
1618802876,33554432
1618803176,33554432
1618803476,33554432
1618803776,33554432
1618804076,33554432
1618804376,33554432
1618804676,33554432
1618804976,33554432
1618805276,33554432
1618805576,33554432
1618805876,33554432
1618806176,33554432
1618806476,33554432
1618806776,33554432
1618807076,33554432
1618807376,33554432
1618807676,33554432
1618807976,33554432
1618808276,33554432
1618808576,33554432
1618808876,33554432
1618809176,33554432
1618809476,33554432
1618809776,33554432
1618810076,33554432
1618810376,33554432
1618810676,33554432
1618810976,33554432
1618811276,33554432
1618811370,33554432
1618811370,33554432
