k,model,config,f1
0,Model-A,SQ - 1k,
0,Model-A,SQ - 100k,
0,Model-A,SQ - 200k,
0,Model-B,SQ - 1k,
0,Model-B,SQ - 100k,
0,Model-B,SQ - 200k,
0,Model-C,SQ - 1k,0.56
0,Model-C,SQ - 100k,0.57
0,Model-C,SQ - 200k,0.58
0,Model-D,SQ - 1k,0.56
0,Model-D,SQ - 100k,0.57
0,Model-D,SQ - 200k,0.58
0,Model-E,SQ - 1k,0.56
0,Model-E,SQ - 100k,0.57
0,Model-E,SQ - 200k,0.58
0,Model-F,SQ - 1k,0.44
0,Model-F,SQ - 100k,0.47
0,Model-F,SQ - 200k,0.47
0,Model-G,SQ - 1k,0.57
0,Model-G,SQ - 100k,0.59
0,Model-G,SQ - 200k,0.60
0,Model-A,CQ - 1k,0
0,Model-A,CQ - 100k,0
0,Model-A,CQ - 200k,0
0,Model-B,CQ - 1k,0
0,Model-B,CQ - 100k,0
0,Model-B,CQ - 200k,0
0,Model-C,CQ - 1k,
0,Model-C,CQ - 100k,
0,Model-C,CQ - 200k,
0,Model-D,CQ - 1k,
0,Model-D,CQ - 100k,
0,Model-D,CQ - 200k,
0,Model-E,CQ - 1k,
0,Model-E,CQ - 100k,
0,Model-E,CQ - 200k,
0,Model-F,CQ - 1k,
0,Model-F,CQ - 100k,
0,Model-F,CQ - 200k,
0,Model-G,CQ - 1k,
0,Model-G,CQ - 100k,
0,Model-G,CQ - 200k,
1,Model-A,SQ - 1k,
1,Model-A,SQ - 100k,
1,Model-A,SQ - 200k,
1,Model-B,SQ - 1k,
1,Model-B,SQ - 100k,
1,Model-B,SQ - 200k,
1,Model-C,SQ - 1k,0.49
1,Model-C,SQ - 100k,0.50
1,Model-C,SQ - 200k,0.50
1,Model-D,SQ - 1k,0.49
1,Model-D,SQ - 100k,0.50
1,Model-D,SQ - 200k,0.50
1,Model-E,SQ - 1k,0.36
1,Model-E,SQ - 100k,0.37
1,Model-E,SQ - 200k,0.37
1,Model-F,SQ - 1k,0.41
1,Model-F,SQ - 100k,0.43
1,Model-F,SQ - 200k,0.43
1,Model-G,SQ - 1k,0.88
1,Model-G,SQ - 100k,0.89
1,Model-G,SQ - 200k,0.91
1,Model-A,CQ - 1k,0.68
1,Model-A,CQ - 100k,0.71
1,Model-A,CQ - 200k,0.72
1,Model-B,CQ - 1k,0.89
1,Model-B,CQ - 100k,0.92
1,Model-B,CQ - 200k,0.89
1,Model-C,CQ - 1k,0.31
1,Model-C,CQ - 100k,0.32
1,Model-C,CQ - 200k,0.33
1,Model-D,CQ - 1k,0.16
1,Model-D,CQ - 100k,0.17
1,Model-D,CQ - 200k,0.18
1,Model-E,CQ - 1k,0.12
1,Model-E,CQ - 100k,0.14
1,Model-E,CQ - 200k,0.15
1,Model-F,CQ - 1k,0.13
1,Model-F,CQ - 100k,0.13
1,Model-F,CQ - 200k,0.14
1,Model-G,CQ - 1k,0.39
1,Model-G,CQ - 100k,0.41
1,Model-G,CQ - 200k,0.43
2,Model-A,SQ - 1k,
2,Model-A,SQ - 100k,
2,Model-A,SQ - 200k,
2,Model-B,SQ - 1k,
2,Model-B,SQ - 100k,
2,Model-B,SQ - 200k,
2,Model-C,SQ - 1k,0.49
2,Model-C,SQ - 100k,0.50
2,Model-C,SQ - 200k,0.50
2,Model-D,SQ - 1k,0.49
2,Model-D,SQ - 100k,0.49
2,Model-D,SQ - 200k,0.50
2,Model-E,SQ - 1k,0.35
2,Model-E,SQ - 100k,0.36
2,Model-E,SQ - 200k,0.36
2,Model-F,SQ - 1k,0.41
2,Model-F,SQ - 100k,0.43
2,Model-F,SQ - 200k,0.43
2,Model-G,SQ - 1k,0.57
2,Model-G,SQ - 100k,0.59
2,Model-G,SQ - 200k,0.60
2,Model-A,CQ - 1k,0.03
2,Model-A,CQ - 100k,0.13
2,Model-A,CQ - 200k,0.15
2,Model-B,CQ - 1k,0.51
2,Model-B,CQ - 100k,0.58
2,Model-B,CQ - 200k,0.58
2,Model-C,CQ - 1k,0.23
2,Model-C,CQ - 100k,0.25
2,Model-C,CQ - 200k,0.25
2,Model-D,CQ - 1k,0.08
2,Model-D,CQ - 100k,0.09
2,Model-D,CQ - 200k,0.09
2,Model-E,CQ - 1k,0.04
2,Model-E,CQ - 100k,0.04
2,Model-E,CQ - 200k,0.04
2,Model-F,CQ - 1k,0.06
2,Model-F,CQ - 100k,0.07
2,Model-F,CQ - 200k,0.08
2,Model-G,CQ - 1k,0.07
2,Model-G,CQ - 100k,0.08
2,Model-G,CQ - 200k,0.09
