k,model,config,f1
0,Characteristic Sets,SQ - 1k,
0,Characteristic Sets,SQ - 100k,
0,Characteristic Sets,SQ - 200k,
0,W-Property Clique,SQ - 1k,
0,W-Property Clique,SQ - 100k,
0,W-Property Clique,SQ - 200k,
0,SemSets,SQ - 1k,0.94
0,SemSets,SQ - 100k,0.97
0,SemSets,SQ - 200k,0.98
0,SchemEX,SQ - 1k,0.94
0,SchemEX,SQ - 100k,0.97
0,SchemEX,SQ - 200k,0.98
0,TermPicker,SQ - 1k,0.94
0,TermPicker,SQ - 100k,0.97
0,TermPicker,SQ - 200k,0.98
0,SchemEX+U+oI,SQ - 1k,0.85
0,SchemEX+U+oI,SQ - 100k,0.91
0,SchemEX+U+oI,SQ - 200k,0.93
0,SchemEX+U+pI,SQ - 1k,0.92
0,SchemEX+U+pI,SQ - 100k,0.97
0,SchemEX+U+pI,SQ - 200k,0.98
0,Characteristic Sets,CQ - 1k,0
0,Characteristic Sets,CQ - 100k,0
0,Characteristic Sets,CQ - 200k,0
0,W-Property Clique,CQ - 1k,0
0,W-Property Clique,CQ - 100k,0
0,W-Property Clique,CQ - 200k,0
0,SemSets,CQ - 1k,
0,SemSets,CQ - 100k,
0,SemSets,CQ - 200k,
0,SchemEX,CQ - 1k,
0,SchemEX,CQ - 100k,
0,SchemEX,CQ - 200k,
0,TermPicker,CQ - 1k,
0,TermPicker,CQ - 100k,
0,TermPicker,CQ - 200k,
0,SchemEX+U+oI,CQ - 1k,
0,SchemEX+U+oI,CQ - 100k,
0,SchemEX+U+oI,CQ - 200k,
0,SchemEX+U+pI,CQ - 1k,
0,SchemEX+U+pI,CQ - 100k,
0,SchemEX+U+pI,CQ - 200k,
1,Characteristic Sets,SQ - 1k,
1,Characteristic Sets,SQ - 100k,
1,Characteristic Sets,SQ - 200k,
1,W-Property Clique,SQ - 1k,
1,W-Property Clique,SQ - 100k,
1,W-Property Clique,SQ - 200k,
1,SemSets,SQ - 1k,0.73
1,SemSets,SQ - 100k,0.76
1,SemSets,SQ - 200k,0.76
1,SchemEX,SQ - 1k,0.73
1,SchemEX,SQ - 100k,0.75
1,SchemEX,SQ - 200k,0.76
1,TermPicker,SQ - 1k,0.22
1,TermPicker,SQ - 100k,0.25
1,TermPicker,SQ - 200k,0.29
1,SchemEX+U+oI,SQ - 1k,0.65
1,SchemEX+U+oI,SQ - 100k,0.70
1,SchemEX+U+oI,SQ - 200k,0.71
1,SchemEX+U+pI,SQ - 1k,0.80
1,SchemEX+U+pI,SQ - 100k,0.80
1,SchemEX+U+pI,SQ - 200k,0.85
1,Characteristic Sets,CQ - 1k,0.60
1,Characteristic Sets,CQ - 100k,0.77
1,Characteristic Sets,CQ - 200k,0.78
1,W-Property Clique,CQ - 1k,0.76
1,W-Property Clique,CQ - 100k,0.76
1,W-Property Clique,CQ - 200k,0.76
1,SemSets,CQ - 1k,0.39
1,SemSets,CQ - 100k,0.44
1,SemSets,CQ - 200k,0.44
1,SchemEX,CQ - 1k,0.39
1,SchemEX,CQ - 100k,0.44
1,SchemEX,CQ - 200k,0.46
1,TermPicker,CQ - 1k,0.14
1,TermPicker,CQ - 100k,0.23
1,TermPicker,CQ - 200k,0.29
1,SchemEX+U+oI,CQ - 1k,0.33
1,SchemEX+U+oI,CQ - 100k,0.42
1,SchemEX+U+oI,CQ - 200k,0.45
1,SchemEX+U+pI,CQ - 1k,0.49
1,SchemEX+U+pI,CQ - 100k,0.50
1,SchemEX+U+pI,CQ - 200k,0.65
2,Characteristic Sets,SQ - 1k,
2,Characteristic Sets,SQ - 100k,
2,Characteristic Sets,SQ - 200k,
2,W-Property Clique,SQ - 1k,
2,W-Property Clique,SQ - 100k,
2,W-Property Clique,SQ - 200k,
2,SemSets,SQ - 1k,0.71
2,SemSets,SQ - 100k,0.78
2,SemSets,SQ - 200k,0.78
2,SchemEX,SQ - 1k,0.59
2,SchemEX,SQ - 100k,0.77
2,SchemEX,SQ - 200k,0.78
2,TermPicker,SQ - 1k,0.19
2,TermPicker,SQ - 100k,0.21
2,TermPicker,SQ - 200k,0.24
2,SchemEX+U+oI,SQ - 1k,0.41
2,SchemEX+U+oI,SQ - 100k,0.69
2,SchemEX+U+oI,SQ - 200k,0.70
2,SchemEX+U+pI,SQ - 1k,0.67
2,SchemEX+U+pI,SQ - 100k,0.73
2,SchemEX+U+pI,SQ - 200k,0.74
2,Characteristic Sets,CQ - 1k,0.04
2,Characteristic Sets,CQ - 100k,0.18
2,Characteristic Sets,CQ - 200k,0.21
2,W-Property Clique,CQ - 1k,0.42
2,W-Property Clique,CQ - 100k,0.44
2,W-Property Clique,CQ - 200k,0.45
2,SemSets,CQ - 1k,0.26
2,SemSets,CQ - 100k,0.32
2,SemSets,CQ - 200k,0.33
2,SchemEX,CQ - 1k,0.11
2,SchemEX,CQ - 100k,0.24
2,SchemEX,CQ - 200k,0.26
2,TermPicker,CQ - 1k,0.04
2,TermPicker,CQ - 100k,0.05
2,TermPicker,CQ - 200k,0.07
2,SchemEX+U+oI,CQ - 1k,0.06
2,SchemEX+U+oI,CQ - 100k,0.18
2,SchemEX+U+oI,CQ - 200k,0.19
2,SchemEX+U+pI,CQ - 1k,0.16
2,SchemEX+U+pI,CQ - 100k,0.22
2,SchemEX+U+pI,CQ - 200k,0.23
