,dataset,edges,types,bytes,degree,schemex-summarization-ratio,schemexVHI,schemex-compression,instances,schemexschema-computation,schemexupdate,schemexincremental,schemexbatch,schemexspeed-up,schemex:changes,schemex:updates,schemex:change-update-ratio,schemex:change-size-ratio,schemex:update-size-ratio,attribute-summarization-ratio,attributeVHI,attribute-compression,attributeschema-computation,attributeupdate,attributeincremental,attributebatch,attributespeed-up,attribute:changes,attribute:updates,attribute:change-update-ratio,attribute:change-size-ratio,attribute:update-size-ratio,type-summarization-ratio,typeVHI,type-compression,typeschema-computation,typeupdate,typeincremental,typebatch,typespeed-up,type:changes,type:updates,type:change-update-ratio,type:change-size-ratio,type:update-size-ratio
1,DyLDO-core,10707414,0,170365210,3.536530681611429,27.988601593176558,100724015.0,0.591224082663356,3228961.0,48639.0,279215.0,1402113.0,3465182.0,2.4713999513591274,213313.0,1300.0,163.9607993850884,0.06606242689211793,0.011268386973744658,163.60767126064044,97752958.0,0.5737847416147933,45175.0,252057.0,1353140.0,3642321.0,2.6917547334348257,209098.0,423.0,493.1556603773585,0.06475705342988039,0.02143291447101743,536.1941215543009,94414041.0,0.5541861569037482,49297.0,190417.0,1288757.0,8621541.0,6.689811190162303,207929.0,155.0,1332.878205128205,0.06439501746846742,0.025738957157090667
2,DyLDO-core,10340958,0,163484782,3.554121042174612,30.296065304712133,116500643.0,0.7126084860913844,3507224.0,54855.0,357347.0,1721263.0,3805106.0,2.210647646524674,289850.0,1063.0,272.41541353383457,0.08264370909870598,0.009182395369930462,175.80070175438595,113017849.0,0.691305010884744,56041.0,320570.0,1642867.0,3934821.0,2.3950940642182235,289356.0,470.0,614.343949044586,0.08250285696037664,0.02355889724310777,580.954778863674,109477425.0,0.6696490258035148,51385.0,237902.0,1569300.0,9946542.0,6.33820302045498,278904.0,133.0,2081.373134328358,0.07952272224414522,0.022030810004969356
3,DyLDO-core,12663496,0,192083558,3.977475278752956,30.268822795341098,115343913.0,0.6004882156545642,2328520.0,53190.0,320995.0,1639425.0,3609709.0,2.201814050658005,1186580.0,470.0,2519.2781316348196,0.5095854877776441,0.006109608985024958,177.5599105281887,111837369.0,0.5822329103254116,50684.0,294514.0,1588971.0,3773330.0,2.3747003563941695,25722.0,447.0,57.41517857142857,0.01104650164052703,0.022723806618880585,579.4261778367618,108137481.0,0.562971043049921,77285.0,230224.0,1636788.0,10307263.0,6.297249857648028,15014.0,45.0,326.39130434782606,0.0064478724683489945,0.007465162574651626
4,DyLDO-core,12375527,0,188678908,3.992746487433262,29.911180746076532,112629520.0,0.5969375230855163,2300439.0,52193.0,298299.0,1444203.0,3454968.0,2.3923008053576957,64505.0,454.0,141.76923076923077,0.028040300134017898,0.005903080263688255,175.50780733431668,109663825.0,0.5812193114876412,55235.0,276327.0,1412706.0,3608582.0,2.5543757866109438,45089.0,222.0,202.1928251121076,0.0196001719671767,0.0112913890443009,571.6797548045063,105631585.0,0.5598484012850021,75540.0,205692.0,1436288.0,9338966.0,6.502154164067374,91352.0,56.0,1602.6666666666667,0.039710681309089266,0.00927766732935719
5,DyLDO-core,10615535,0,166929845,3.495737252884699,27.995283817762548,102549656.5,0.6143278722867083,2148834.0,55607.0,308287.0,1611265.0,2960641.0,1.8374637319125036,153722.0,604.0,254.08595041322315,0.07153740121386762,0.007868989147569602,165.17638618427796,99262078.0,0.5946335000790302,52561.0,286417.0,1579649.0,3623587.0,2.2939190921527506,229979.0,341.0,672.453216374269,0.10702501914992038,0.017474633596392335,534.3587533156499,96547856.0,0.5783738432153939,53457.0,224351.0,1523698.0,8291073.0,5.44141489980298,227975.0,136.0,1664.051094890511,0.10609242035448062,0.022546419098143235
6,DyLDO-core,12400545,0,183911216,4.130817549726711,30.164091885208563,115299658.5,0.6269310866826089,2317658.0,56853.0,362738.0,1699454.0,3634652.0,2.138717493971593,205012.0,820.0,249.7101096224117,0.08845653672802459,0.010672219691546822,177.30846126383435,111592697.0,0.6067748309597387,54125.0,340072.0,1665239.0,3810017.0,2.2879700751663874,255896.0,393.0,649.4822335025381,0.11041145846367324,0.0200438618860611,572.6382803492011,108391767.0,0.5893700740905329,51322.0,221544.0,1530411.0,8672428.0,5.666731355171911,302631.0,115.0,2608.887931034483,0.13057621098539993,0.01894251358919453
7,DyLDO-core,12595623,0,188995709,3.996885928741772,30.299723756906076,113843889.5,0.6023622975482475,2325322.0,54852.0,298322.0,1454755.0,3287470.0,2.2598100711116307,10186.0,573.0,17.745644599303137,0.004380468597467361,0.007466381736682998,178.21290619251994,110243259.0,0.5833109099847341,52433.0,294752.0,1434925.0,3665372.0,2.5543997073017755,14232.0,237.0,59.79831932773109,0.006120442674175878,0.01210913549969344,579.5917248255234,106684226.0,0.5644796200108437,55785.0,202615.0,1360882.0,8358570.0,6.142024069684219,12118.0,99.0,121.18,0.005211321270774542,0.016450648055832504
8,DyLDO-core,10679185,0,169288861,3.4637289914203704,30.26314353992415,116025786.5,0.6853716530114761,2330141.0,57728.0,363987.0,1718921.0,3656254.0,2.127063431071003,7681.0,577.0,13.288927335640139,0.003296367043882752,0.007493895786794119,177.367908251294,112155695.0,0.6625107779536659,56364.0,328273.0,1665297.0,3938148.0,2.364832219117671,10368.0,262.0,39.42205323193917,0.004449516145160314,0.013295443012280524,577.5300727032386,108638767.0,0.6417360620082381,54824.0,228685.0,1557185.0,9761340.0,6.268580804464467,7802.0,48.0,159.22448979591837,0.003348295231919442,0.007931262392597489
9,DyLDO-core,12685780,0,190337578,3.999387263810488,27.659569746495052,102373282.0,0.537851133106254,2118889.0,52283.0,269110.0,1323524.0,3142948.0,2.374681532031153,215132.0,759.0,283.0684210526316,0.10153056625429648,0.009907840116962118,164.09386132479736,99035378.0,0.5203143753358047,45901.0,263632.0,1303739.0,3288431.0,2.522307762519952,318255.0,507.0,626.4862204724409,0.1501989957944942,0.026175848004543343,529.369420386409,95995119.0,0.504341391798103,48452.0,186288.0,1236999.0,8916859.0,7.2084609607606795,318281.0,72.0,4360.013698630137,0.1502112663759168,0.011992005329780146
10,DyLDO-core,9873785,0,157294786,3.4836894906586773,29.89304772261703,120225765.5,0.764334079706876,2364002.0,59242.0,567130.0,1916617.0,3710765.0,1.9361014746295164,250193.0,2875.0,86.99339360222531,0.1058345128303614,0.03635466983637237,158.37445288075034,116999980.0,0.7438261812441768,55689.0,652627.0,1986109.0,4299240.0,2.16465460858392,370907.0,3205.0,115.69151590767311,0.15689792140615785,0.143144260830728,586.7953003475095,111969859.0,0.7118472382167836,57238.0,234678.0,1574064.0,12527792.0,7.958883501560292,369179.0,111.0,3296.2410714285716,0.15616695755756552,0.018368360086049976
11,DyLDO-core,12753970,0,190409191,3.950579381396489,27.93002702314591,103669399.0,0.5444558555999537,2139468.0,51203.0,299086.0,1364441.0,3180052.0,2.3306628868525645,229693.0,3358.0,68.38136350104197,0.10735986703236505,0.04383754781269174,165.80743993800053,99860795.0,0.5244536488787456,45897.0,261404.0,1306721.0,3337300.0,2.5539499250413824,340197.0,3245.0,104.80499075785582,0.15901009035891164,0.1676569361921984,537.2849489368826,96929094.0,0.5090568028304894,55513.0,186710.0,1279218.0,9315081.0,7.281855790021717,338227.0,92.0,3636.8494623655915,0.15808930070466115,0.01540264523689938
12,DyLDO-core,9947543,0,158645357,3.451835694963185,30.217474440021853,114933278.0,0.7244666983856326,2323059.0,53480.0,327423.0,1487961.0,3494846.0,2.348748387894575,189082.0,1256.0,150.42322991249006,0.0813935418773264,0.016337573818257498,176.97252412392078,111318280.0,0.7016800371913815,51731.0,299254.0,1453065.0,3572922.0,2.458886560477336,279432.0,497.0,561.1084337349398,0.12028622604935992,0.025241239207719656,586.729920862098,107625892.0,0.6784055583801296,65568.0,209318.0,1398808.0,10830094.0,7.742373506585607,276805.0,142.0,1935.6993006993007,0.11915538951012436,0.023909749116012798
13,DyLDO-core,10696905,0,167274050,3.4875538030603948,27.550960156760286,101307739.5,0.6056393056783165,2109026.0,51244.0,315416.0,1602638.0,3407934.0,2.126452761010284,218483.0,754.0,289.3814569536424,0.10359426578904196,0.00984977139124755,162.4577620294767,98299900.0,0.5876577986842549,50938.0,293550.0,1557366.0,3611969.0,2.319280759949813,323204.0,399.0,808.01,0.1532479922011393,0.020489909104914498,538.5665645216206,94656642.0,0.5658776241742219,51652.0,210705.0,1465733.0,10154119.0,6.927673048229111,322502.0,91.0,3505.4565217391305,0.15291513712965132,0.015491998638066053
